Number: 2, Binary: 10, Hexadecimal: 2
Number: 109, Binary: 1101101, Hexadecimal: 6D
Number: 631, Binary: 1001110111, Hexadecimal: 277
Number: 290, Binary: 100100010, Hexadecimal: 122
Number: 416, Binary: 110100000, Hexadecimal: 1A0
Number: 684, Binary: 1010101100, Hexadecimal: 2AC
Number: 719, Binary: 1011001111, Hexadecimal: 2CF
Number: 62, Binary: 111110, Hexadecimal: 3E
Number: 772, Binary: 1100000100, Hexadecimal: 304
Number: 708, Binary: 1011000100, Hexadecimal: 2C4
Number: 811, Binary: 1100101011, Hexadecimal: 32B
Number: 917, Binary: 1110010101, Hexadecimal: 395
Number: 794, Binary: 1100011010, Hexadecimal: 31A
Number: 107, Binary: 1101011, Hexadecimal: 6B
Number: 503, Binary: 111110111, Hexadecimal: 1F7
Number: 915, Binary: 1110010011, Hexadecimal: 393
Number: 411, Binary: 110011011, Hexadecimal: 19B
Number: 803, Binary: 1100100011, Hexadecimal: 323
Number: 180, Binary: 10110100, Hexadecimal: B4
Number: 418, Binary: 110100010, Hexadecimal: 1A2
Number: 98, Binary: 1100010, Hexadecimal: 62
Number: 198, Binary: 11000110, Hexadecimal: C6
Number: 309, Binary: 100110101, Hexadecimal: 135
Number: 288, Binary: 100100000, Hexadecimal: 120
Number: 364, Binary: 101101100, Hexadecimal: 16C
Number: 877, Binary: 1101101101, Hexadecimal: 36D
Number: 461, Binary: 111001101, Hexadecimal: 1CD
Number: 158, Binary: 10011110, Hexadecimal: 9E
Number: 128, Binary: 10000000, Hexadecimal: 80
Number: 338, Binary: 101010010, Hexadecimal: 152
Number: 682, Binary: 1010101010, Hexadecimal: 2AA
Number: 775, Binary: 1100000111, Hexadecimal: 307
Number: 722, Binary: 1011010010, Hexadecimal: 2D2
Number: 847, Binary: 1101001111, Hexadecimal: 34F
Number: 534, Binary: 1000010110, Hexadecimal: 216
Number: 14, Binary: 1110, Hexadecimal: E
Number: 842, Binary: 1101001010, Hexadecimal: 34A
Number: 727, Binary: 1011010111, Hexadecimal: 2D7
Number: 478, Binary: 111011110, Hexadecimal: 1DE
Number: 10, Binary: 1010, Hexadecimal: A
Number: 434, Binary: 110110010, Hexadecimal: 1B2
Number: 140, Binary: 10001100, Hexadecimal: 8C
Number: 161, Binary: 10100001, Hexadecimal: A1
Number: 686, Binary: 1010101110, Hexadecimal: 2AE
Number: 456, Binary: 111001000, Hexadecimal: 1C8
Number: 431, Binary: 110101111, Hexadecimal: 1AF
Number: 430, Binary: 110101110, Hexadecimal: 1AE
Number: 713, Binary: 1011001001, Hexadecimal: 2C9
Number: 157, Binary: 10011101, Hexadecimal: 9D
Number: 648, Binary: 1010001000, Hexadecimal: 288
Number: 150, Binary: 10010110, Hexadecimal: 96
Number: 802, Binary: 1100100010, Hexadecimal: 322
Number: 83, Binary: 1010011, Hexadecimal: 53
Number: 163, Binary: 10100011, Hexadecimal: A3
Number: 563, Binary: 1000110011, Hexadecimal: 233
Number: 629, Binary: 1001110101, Hexadecimal: 275
Number: 131, Binary: 10000011, Hexadecimal: 83
Number: 513, Binary: 1000000001, Hexadecimal: 201
Number: 61, Binary: 111101, Hexadecimal: 3D
Number: 188, Binary: 10111100, Hexadecimal: BC
Number: 49, Binary: 110001, Hexadecimal: 31
Number: 733, Binary: 1011011101, Hexadecimal: 2DD
Number: 218, Binary: 11011010, Hexadecimal: DA
Number: 901, Binary: 1110000101, Hexadecimal: 385
Number: 707, Binary: 1011000011, Hexadecimal: 2C3
Number: 195, Binary: 11000011, Hexadecimal: C3
Number: 506, Binary: 111111010, Hexadecimal: 1FA
Number: 135, Binary: 10000111, Hexadecimal: 87
Number: 329, Binary: 101001001, Hexadecimal: 149
Number: 44, Binary: 101100, Hexadecimal: 2C
Number: 955, Binary: 1110111011, Hexadecimal: 3BB
Number: 142, Binary: 10001110, Hexadecimal: 8E
Number: 638, Binary: 1001111110, Hexadecimal: 27E
Number: 756, Binary: 1011110100, Hexadecimal: 2F4
Number: 132, Binary: 10000100, Hexadecimal: 84
Number: 711, Binary: 1011000111, Hexadecimal: 2C7
Number: 541, Binary: 1000011101, Hexadecimal: 21D
Number: 260, Binary: 100000100, Hexadecimal: 104
Number: 488, Binary: 111101000, Hexadecimal: 1E8
Number: 390, Binary: 110000110, Hexadecimal: 186
Number: 212, Binary: 11010100, Hexadecimal: D4
Number: 790, Binary: 1100010110, Hexadecimal: 316
Number: 28, Binary: 11100, Hexadecimal: 1C
Number: 436, Binary: 110110100, Hexadecimal: 1B4
Number: 812, Binary: 1100101100, Hexadecimal: 32C
Number: 974, Binary: 1111001110, Hexadecimal: 3CE
Number: 113, Binary: 1110001, Hexadecimal: 71
Number: 32, Binary: 100000, Hexadecimal: 20
Number: 581, Binary: 1001000101, Hexadecimal: 245
Number: 640, Binary: 1010000000, Hexadecimal: 280
Number: 658, Binary: 1010010010, Hexadecimal: 292
Number: 497, Binary: 111110001, Hexadecimal: 1F1
Number: 124, Binary: 1111100, Hexadecimal: 7C
Number: 716, Binary: 1011001100, Hexadecimal: 2CC
Number: 365, Binary: 101101101, Hexadecimal: 16D
Number: 796, Binary: 1100011100, Hexadecimal: 31C
Number: 786, Binary: 1100010010, Hexadecimal: 312
Number: 345, Binary: 101011001, Hexadecimal: 159
Number: 397, Binary: 110001101, Hexadecimal: 18D
Number: 206, Binary: 11001110, Hexadecimal: CE
Number: 937, Binary: 1110101001, Hexadecimal: 3A9
Number: 267, Binary: 100001011, Hexadecimal: 10B
Number: 192, Binary: 11000000, Hexadecimal: C0
Number: 504, Binary: 111111000, Hexadecimal: 1F8
Number: 753, Binary: 1011110001, Hexadecimal: 2F1
Number: 886, Binary: 1101110110, Hexadecimal: 376
Number: 36, Binary: 100100, Hexadecimal: 24
Number: 299, Binary: 100101011, Hexadecimal: 12B
Number: 407, Binary: 110010111, Hexadecimal: 197
Number: 693, Binary: 1010110101, Hexadecimal: 2B5
Number: 5, Binary: 101, Hexadecimal: 5
Number: 103, Binary: 1100111, Hexadecimal: 67
Number: 305, Binary: 100110001, Hexadecimal: 131
Number: 570, Binary: 1000111010, Hexadecimal: 23A
Number: 144, Binary: 10010000, Hexadecimal: 90
Number: 403, Binary: 110010011, Hexadecimal: 193
Number: 852, Binary: 1101010100, Hexadecimal: 354
Number: 743, Binary: 1011100111, Hexadecimal: 2E7
Number: 25, Binary: 11001, Hexadecimal: 19
Number: 183, Binary: 10110111, Hexadecimal: B7
Number: 310, Binary: 100110110, Hexadecimal: 136
Number: 374, Binary: 101110110, Hexadecimal: 176
Number: 415, Binary: 110011111, Hexadecimal: 19F
Number: 312, Binary: 100111000, Hexadecimal: 138
Number: 437, Binary: 110110101, Hexadecimal: 1B5
Number: 278, Binary: 100010110, Hexadecimal: 116
Time Elapsed: 0.01 seconds
